yahoo_rank,name,team,position,percent_drafted,preseason_adp,adp
2103,DeAndre Hopkins,BAL,WR,,,
2104,Tyler Conklin,DET,TE,,,
2105,Daniel Carlson,NO,K,,,
2106,Demarcus Robinson,SF,WR,,,
2107,Raiders,LV,DEF,,,
2108,Lil'Jordan Humphrey,DEN,WR,,,
2109,Noah Gray,KC,TE,,,
2110,Van Jefferson,WAS,WR,,,
2111,Mitchell Evans,CAR,TE,,,
2112,Jahdae Walker,CHI,WR,,,
2113,Davis Allen,LAR,TE,,,
2114,Ben Sinnott,WAS,TE,,,
2115,Kalif Raymond,CHI,WR,,,
2116,Tyler Johnson,DAL,WR,,,
2117,Tim Patrick,NYJ,WR,,,
2118,Elijah Higgins,ARI,TE,,,
2119,JuJu Smith-Schuster,NYG,WR,,,
2120,Austin Ekeler,WAS,RB,,,
2121,Will Dissly,LAC,TE,,,
2122,Antonio Gibson,NE,RB,,,
2123,Josh Reynolds,NYJ,WR,,,
2124,Andre Szmyt,CLE,K,,,
2125,Younghoe Koo,NYG,K,,,
2126,Tutu Atwell,LAR,WR,,,
2127,Tyler Lockett,LV,WR,,,
2128,Ryan Fitzgerald,CAR,K,,,
2129,Luke Musgrave,GB,TE,,,
2130,Nick Vannett,SEA,TE,,,
2131,Spencer Rattler,NO,QB,,,
2132,Alexander Mattison,MIA,RB,,,
2133,Tyrell Shavers,BUF,WR,,,
2134,Brandin Cooks,NO,WR,,,
2135,Mitch Tinsley,CIN,WR,,,
2136,Noah Brown,LV,WR,,,
2137,Marquez Valdes-Scantling,DAL,WR,,,
2138,Bub Means,NO,WR,,,
2139,Dyami Brown,WAS,WR,,,
2140,CJ Dippre,NE,TE,,,
2141,Carsen Ryan,CLE,TE,,,
2142,RJ Maryland,GB,TE,,,
2143,Carson Towt,IND,TE,,,
2144,Evan Svoboda,LAC,TE,,,
2145,Thomas Fidone II,NYG,TE,,,
2146,Chris Myarick,LV,TE,,,
2147,Albert Okwuegbunam Jr.,LV,TE,,,
2148,Bauer Sharp,TB,TE,,,
2149,Lance Mason,PIT,TE,,,
2150,Marcedes Lewis,DEN,TE,,,
2151,DJ Rogers,DAL,TE,,,
2152,Josh Cuevas,BAL,TE,,,
2153,Messiah Swinson,GB,TE,,,
2154,Tanner Arkin,NE,TE,,,
2155,Johnny Pascuzzi,LAC,TE,,,
2156,Connor Hulstein,NYJ,TE,,,
2157,Chamon Metayer,CAR,TE,,,
2158,Devin Culp,TB,TE,,,
2159,Sal Cannella,CLE,TE,,,
2160,Ademola Faleye,TB,TE,,,
2161,Justin Joly,DEN,TE,,,
2162,Treyton Welch,NO,TE,,,
2163,Mitch Van Vooren,DAL,TE,,,
2164,Jared Wiley,KC,TE,,,
2165,Tre Watson,KC,TE,,,
2166,Robert Tonyan,PIT,TE,,,
2167,Nikola Kalinic,CHI,TE,,,
2168,Sam Roush,CHI,TE,,,
2169,Eni Falayi,GB,TE,,,
2170,Patrick Gurd,LV,TE,,,
2171,E.J. Jenkins,PHI,TE,,,
2172,Matt Hibner,BAL,TE,,,
2173,Bryson Nesbit,MIN,TE,,,
2174,Tanner Koziol,JAX,TE,,,
2175,Rivaldo Fairweather,ARI,TE,,,
2176,Travis Vokolek,ARI,TE,,,
2177,Dallen Bentley,DEN,TE,,,
2178,James Mitchell,CAR,TE,,,
2179,Nate Boerkircher,JAX,TE,,,
2180,Matt Lauter,MIN,TE,,,
2181,Tyree Jackson,WAS,TE,,,
2182,Michael Trigg,DAL,TE,,,
2183,Caden Prieskorn,CAR,TE,,,
2184,Khalil Dinkins,SF,TE,,,
2185,Joshua Simon,ATL,TE,,,
2186,DeShawn Hanika,IND,TE,,,
2187,Zaire Mitchell-Paden,NO,TE,,,
2188,Joel Wilson,TEN,TE,,,
2189,Stone Eby,DEN,TE,,,
2190,Brandon Frazier,ATL,TE,,,
2191,Baylor Cupp,ARI,TE,,,
2192,Hayden Rucci,SF,TE,,,
2193,Luke Lachey,HOU,TE,,,
2194,McCallan Castles,GB,TE,,,
2195,Keleki Latu,BUF,TE,,,
2196,Nick Kallerup,SEA,TE,,,
2197,Tre' McKitty,WAS,TE,,,
2198,Nick Muse,ATL,TE,,,
2199,Brett Weaver,DEN,TE,,,
2200,Max Klare,LAR,TE,,,
2201,Kenny Fletcher Jr.,TB,TE,,,
2202,Zack Kuntz,DAL,TE,,,
2203,Jaren Kanak,TEN,TE,,,
2204,Chase Curtis,NYJ,TE,,,
2205,Jerand Bradley,LAC,TE,,,
2206,Hayden Large,CHI,TE,,,
2207,Jake Briningstool,KC,TE,,,
2208,Louis Hansen,HOU,TE,,,
2209,Ty Pezza,BAL,TE,,,
2210,Miles Kitselman,DET,TE,,,
2211,Marshall Lang,MIN,TE,,,
2212,Thomas Gordon,DET,TE,,,
2213,Dan Villari,LAR,TE,,,
2214,Drake Dabney,GB,TE,,,
2215,Drew Biber,CLE,TE,,,
2216,Josh Kattus,CIN,TE,,,
2217,Lake McRee,PIT,TE,,,
2218,Patrick Herbert,JAX,TE,,,
2219,Jameson Geers,ARI,TE,,,
2220,Jack Endries,CIN,TE,,,
2221,Shawn Bowman,ARI,TE,,,
2222,Zach Horton,DET,TE,,,
2223,Heinrich Haarberg,CAR,TE,,,
2224,Layne Pryor,HOU,TE,,,
2225,Teagan Quitoriano,ARI,TE,,,
2226,Princeton Fant,DAL,TE,,,
2227,JJ Galbreath,IND,TE,,,
2228,Quentin Moore,WAS,TE,,,
2229,Jeremiah Franklin,MIA,TE,,,
2230,John Michael Gyllenborg,KC,TE,,,
2231,Moliki Matavao,NO,TE,,,
2232,Jermaine Terry,CLE,TE,,,
2233,Sean McKeon,IND,TE,,,
2234,Jelani Woods,NYJ,TE,,,
2235,Tanner McLachlan,SF,TE,,,
2236,Rohan Jones,LAR,TE,,,
2237,Cody Hardy,NO,TE,,,
2238,Cole Turner,MIA,TE,,,
2239,Jack Velling,ATL,TE,,,
2240,Lawrence Cager,WAS,TE,,,
2241,Gavin Bartholomew,MIN,TE,,,
2242,Mark Redman,LAR,TE,,,
2243,Ethan Conner,MIA,TE,,,
2244,Stephen Carlson,CHI,TE,,,
2245,Caleb Lohner,DEN,TE,,,
2246,Dae'Quan Wright,CLE,TE,,,
2247,Jalin Conyers,MIA,TE,,,
2248,Mason Pline,KC,TE,,,
2249,Joe Royer,CLE,TE,,,
2250,Will Kacmarek,MIA,TE,,,
2251,Seydou Traore,MIA,TE,,,
2252,Brevin Jordan,HOU,TE,,,
2253,Thomas Yassmin,GB,TE,,,
2254,Bryce Pierre,CAR,TE,,,
2255,Ko Kieft,TB,TE,,,
2256,Tyler Moore,IND,TE,,,
2257,Donald Parham Jr.,PIT,TE,,,
2258,Shane Zylstra,BUF,TE,,,
2259,Qadir Ismail,CHI,TE,,,
2260,David Sills V,TB,WR,,,
2261,Marcus Mariota,WAS,QB,,,
2262,Jeremy Ruckert,NYJ,TE,,,
2263,Grant Calcaterra,PHI,TE,,,
2264,Kenny Yeboah,ARI,TE,,,
2265,Ian Thomas,LV,TE,,,
2266,Isaiah Hodgins,NYG,WR,,,
2267,Josh Whyle,GB,TE,,,
2268,Chris Manhertz,NYG,TE,,,
2269,Elijah Moore,PHI,WR,,,
2270,Mo Alie-Cox,IND,TE,,,
2271,Ben Sims,MIA,TE,,,
2272,David Moore,CAR,WR,,,
2273,Foster Moreau,HOU,TE,,,
2274,Cam Grandy,CIN,TE,,,
2275,Jackson Meeks,DET,"WR,TE",,,
2276,Justin Shorter,LV,"WR,TE",,,
2277,Drew Sample,CIN,TE,,,
2278,Zay Jones,HOU,WR,,,
2279,Chris Moore,BAL,WR,,,
2280,Nate Adkins,DEN,TE,,,
2281,Pharaoh Brown,IND,TE,,,
2282,Curtis Samuel,BUF,WR,,,
2283,Jaheim Bell,PIT,TE,,,
2284,Jaleel McLaughlin,DEN,RB,,,
2285,Will Mallory,IND,TE,,,
2286,Cade Stover,HOU,TE,,,
2287,Ainias Smith,CAR,WR,,,
